point_id,connector_id,protocol,local_id,device_ref,unit,writable
BN-01-AI-001,bacnet-01,bacnet,"analogInput,1",ahu-01,degC,False
BN-01-AI-002,bacnet-01,bacnet,"analogInput,2",ahu-01,%RH,False
BN-01-AI-003,bacnet-01,bacnet,"analogInput,3",ahu-01,ppm,False
BN-01-AI-004,bacnet-01,bacnet,"analogInput,4",ahu-01,Pa,False
BN-01-AI-005,bacnet-01,bacnet,"analogInput,5",ahu-01,m3/h,False
BN-01-AI-006,bacnet-01,bacnet,"analogInput,6",ahu-01,kW,False
BN-01-AI-007,bacnet-01,bacnet,"analogInput,7",ahu-01,kWh,False
BN-01-AI-008,bacnet-01,bacnet,"analogInput,8",ahu-01,lux,False
BN-01-AI-009,bacnet-01,bacnet,"analogInput,9",ahu-01,degC,False
BN-01-AI-010,bacnet-01,bacnet,"analogInput,10",ahu-01,%RH,False
BN-01-AI-011,bacnet-01,bacnet,"analogInput,11",ahu-01,degC,False
BN-01-AI-012,bacnet-01,bacnet,"analogInput,12",ahu-01,%RH,False
BN-01-AI-013,bacnet-01,bacnet,"analogInput,13",ahu-01,ppm,False
BN-01-AI-014,bacnet-01,bacnet,"analogInput,14",ahu-01,Pa,False
BN-01-AI-015,bacnet-01,bacnet,"analogInput,15",ahu-01,m3/h,False
BN-01-AI-016,bacnet-01,bacnet,"analogInput,16",ahu-01,kW,False
BN-01-AI-017,bacnet-01,bacnet,"analogInput,17",ahu-01,kWh,False
BN-01-AI-018,bacnet-01,bacnet,"analogInput,18",ahu-01,lux,False
BN-01-AI-019,bacnet-01,bacnet,"analogInput,19",ahu-01,degC,False
BN-01-AI-020,bacnet-01,bacnet,"analogInput,20",ahu-01,%RH,False
BN-01-AI-021,bacnet-01,bacnet,"analogInput,21",ahu-01,degC,False
BN-01-AI-022,bacnet-01,bacnet,"analogInput,22",ahu-01,%RH,False
BN-01-AI-023,bacnet-01,bacnet,"analogInput,23",ahu-01,ppm,False
BN-01-AI-024,bacnet-01,bacnet,"analogInput,24",ahu-01,Pa,False
BN-01-AI-025,bacnet-01,bacnet,"analogInput,25",ahu-01,m3/h,False
BN-01-AI-026,bacnet-01,bacnet,"analogInput,26",ahu-01,kW,False
BN-01-AI-027,bacnet-01,bacnet,"analogInput,27",ahu-01,kWh,False
BN-01-AI-028,bacnet-01,bacnet,"analogInput,28",ahu-01,lux,False
BN-01-AI-029,bacnet-01,bacnet,"analogInput,29",ahu-01,degC,False
BN-01-AI-030,bacnet-01,bacnet,"analogInput,30",ahu-01,%RH,False
BN-01-AI-031,bacnet-01,bacnet,"analogInput,31",ahu-01,degC,False
BN-01-AI-032,bacnet-01,bacnet,"analogInput,32",ahu-01,%RH,False
BN-01-AI-033,bacnet-01,bacnet,"analogInput,33",ahu-01,ppm,False
BN-01-AI-034,bacnet-01,bacnet,"analogInput,34",ahu-01,Pa,False
BN-01-AI-035,bacnet-01,bacnet,"analogInput,35",ahu-01,m3/h,False
BN-01-AI-036,bacnet-01,bacnet,"analogInput,36",ahu-01,kW,False
BN-01-AI-037,bacnet-01,bacnet,"analogInput,37",ahu-01,kWh,False
BN-01-AI-038,bacnet-01,bacnet,"analogInput,38",ahu-01,lux,False
BN-01-AI-039,bacnet-01,bacnet,"analogInput,39",ahu-01,degC,False
BN-01-AI-040,bacnet-01,bacnet,"analogInput,40",ahu-01,%RH,False
BN-01-AI-041,bacnet-01,bacnet,"analogInput,41",ahu-01,degC,False
BN-01-AI-042,bacnet-01,bacnet,"analogInput,42",ahu-01,%RH,False
BN-01-AI-043,bacnet-01,bacnet,"analogInput,43",ahu-01,ppm,False
BN-01-AI-044,bacnet-01,bacnet,"analogInput,44",ahu-01,Pa,False
BN-01-AI-045,bacnet-01,bacnet,"analogInput,45",ahu-01,m3/h,False
BN-01-AI-046,bacnet-01,bacnet,"analogInput,46",ahu-01,kW,False
BN-01-AI-047,bacnet-01,bacnet,"analogInput,47",ahu-01,kWh,False
BN-01-AI-048,bacnet-01,bacnet,"analogInput,48",ahu-01,lux,False
BN-01-AI-049,bacnet-01,bacnet,"analogInput,49",ahu-01,degC,False
BN-01-AI-050,bacnet-01,bacnet,"analogInput,50",ahu-01,%RH,False
BN-01-AI-051,bacnet-01,bacnet,"analogInput,51",ahu-01,degC,False
BN-01-AI-052,bacnet-01,bacnet,"analogInput,52",ahu-01,%RH,False
BN-01-AI-053,bacnet-01,bacnet,"analogInput,53",ahu-01,ppm,False
BN-01-AI-054,bacnet-01,bacnet,"analogInput,54",ahu-01,Pa,False
BN-01-AI-055,bacnet-01,bacnet,"analogInput,55",ahu-01,m3/h,False
BN-01-AI-056,bacnet-01,bacnet,"analogInput,56",ahu-01,kW,False
BN-01-AI-057,bacnet-01,bacnet,"analogInput,57",ahu-01,kWh,False
BN-01-AI-058,bacnet-01,bacnet,"analogInput,58",ahu-01,lux,False
BN-01-AI-059,bacnet-01,bacnet,"analogInput,59",ahu-01,degC,False
BN-01-AI-060,bacnet-01,bacnet,"analogInput,60",ahu-01,%RH,False
BN-01-AI-061,bacnet-01,bacnet,"analogInput,61",ahu-01,degC,False
BN-01-AI-062,bacnet-01,bacnet,"analogInput,62",ahu-01,%RH,False
BN-01-AI-063,bacnet-01,bacnet,"analogInput,63",ahu-01,ppm,False
BN-01-AI-064,bacnet-01,bacnet,"analogInput,64",ahu-01,Pa,False
BN-01-AI-065,bacnet-01,bacnet,"analogInput,65",ahu-01,m3/h,False
BN-01-AI-066,bacnet-01,bacnet,"analogInput,66",ahu-01,kW,False
BN-01-AI-067,bacnet-01,bacnet,"analogInput,67",ahu-01,kWh,False
BN-01-AI-068,bacnet-01,bacnet,"analogInput,68",ahu-01,lux,False
BN-01-AI-069,bacnet-01,bacnet,"analogInput,69",ahu-01,degC,False
BN-01-AI-070,bacnet-01,bacnet,"analogInput,70",ahu-01,%RH,False
BN-01-AI-071,bacnet-01,bacnet,"analogInput,71",ahu-01,degC,False
BN-01-AI-072,bacnet-01,bacnet,"analogInput,72",ahu-01,%RH,False
BN-01-AI-073,bacnet-01,bacnet,"analogInput,73",ahu-01,ppm,False
BN-01-AI-074,bacnet-01,bacnet,"analogInput,74",ahu-01,Pa,False
BN-01-AI-075,bacnet-01,bacnet,"analogInput,75",ahu-01,m3/h,False
BN-01-AI-076,bacnet-01,bacnet,"analogInput,76",ahu-01,kW,False
BN-01-AI-077,bacnet-01,bacnet,"analogInput,77",ahu-01,kWh,False
BN-01-AI-078,bacnet-01,bacnet,"analogInput,78",ahu-01,lux,False
BN-01-AI-079,bacnet-01,bacnet,"analogInput,79",ahu-01,degC,False
BN-01-AI-080,bacnet-01,bacnet,"analogInput,80",ahu-01,%RH,False
BN-01-AI-081,bacnet-01,bacnet,"analogInput,81",ahu-01,degC,False
BN-01-AI-082,bacnet-01,bacnet,"analogInput,82",ahu-01,%RH,False
BN-01-AI-083,bacnet-01,bacnet,"analogInput,83",ahu-01,ppm,False
BN-01-AI-084,bacnet-01,bacnet,"analogInput,84",ahu-01,Pa,False
BN-01-AI-085,bacnet-01,bacnet,"analogInput,85",ahu-01,m3/h,False
BN-01-AI-086,bacnet-01,bacnet,"analogInput,86",ahu-01,kW,False
BN-01-AI-087,bacnet-01,bacnet,"analogInput,87",ahu-01,kWh,False
BN-01-AI-088,bacnet-01,bacnet,"analogInput,88",ahu-01,lux,False
BN-01-AI-089,bacnet-01,bacnet,"analogInput,89",ahu-01,degC,False
BN-01-AI-090,bacnet-01,bacnet,"analogInput,90",ahu-01,%RH,False
BN-01-AI-091,bacnet-01,bacnet,"analogInput,91",ahu-01,degC,False
BN-01-AI-092,bacnet-01,bacnet,"analogInput,92",ahu-01,%RH,False
BN-01-AI-093,bacnet-01,bacnet,"analogInput,93",ahu-01,ppm,False
BN-01-AI-094,bacnet-01,bacnet,"analogInput,94",ahu-01,Pa,False
BN-01-AI-095,bacnet-01,bacnet,"analogInput,95",ahu-01,m3/h,False
BN-01-AI-096,bacnet-01,bacnet,"analogInput,96",ahu-01,kW,False
BN-01-AI-097,bacnet-01,bacnet,"analogInput,97",ahu-01,kWh,False
BN-01-AI-098,bacnet-01,bacnet,"analogInput,98",ahu-01,lux,False
BN-01-AI-099,bacnet-01,bacnet,"analogInput,99",ahu-01,degC,False
BN-01-AI-100,bacnet-01,bacnet,"analogInput,100",ahu-01,%RH,False
BN-01-AO-001,bacnet-01,bacnet,"analogOutput,1",ahu-01,degC,True
BN-01-AO-002,bacnet-01,bacnet,"analogOutput,2",ahu-01,%,True
BN-01-AO-003,bacnet-01,bacnet,"analogOutput,3",ahu-01,Pa,True
BN-01-AO-004,bacnet-01,bacnet,"analogOutput,4",ahu-01,m3/h,True
BN-01-AO-005,bacnet-01,bacnet,"analogOutput,5",ahu-01,kW,True
BN-01-AO-006,bacnet-01,bacnet,"analogOutput,6",ahu-01,degC,True
BN-01-AO-007,bacnet-01,bacnet,"analogOutput,7",ahu-01,%,True
BN-01-AO-008,bacnet-01,bacnet,"analogOutput,8",ahu-01,Pa,True
BN-01-AO-009,bacnet-01,bacnet,"analogOutput,9",ahu-01,m3/h,True
BN-01-AO-010,bacnet-01,bacnet,"analogOutput,10",ahu-01,kW,True
BN-01-AO-011,bacnet-01,bacnet,"analogOutput,11",ahu-01,degC,True
BN-01-AO-012,bacnet-01,bacnet,"analogOutput,12",ahu-01,%,True
BN-01-AO-013,bacnet-01,bacnet,"analogOutput,13",ahu-01,Pa,True
BN-01-AO-014,bacnet-01,bacnet,"analogOutput,14",ahu-01,m3/h,True
BN-01-AO-015,bacnet-01,bacnet,"analogOutput,15",ahu-01,kW,True
BN-01-AO-016,bacnet-01,bacnet,"analogOutput,16",ahu-01,degC,True
BN-01-AO-017,bacnet-01,bacnet,"analogOutput,17",ahu-01,%,True
BN-01-AO-018,bacnet-01,bacnet,"analogOutput,18",ahu-01,Pa,True
BN-01-AO-019,bacnet-01,bacnet,"analogOutput,19",ahu-01,m3/h,True
BN-01-AO-020,bacnet-01,bacnet,"analogOutput,20",ahu-01,kW,True
BN-01-AO-021,bacnet-01,bacnet,"analogOutput,21",ahu-01,degC,True
BN-01-AO-022,bacnet-01,bacnet,"analogOutput,22",ahu-01,%,True
BN-01-AO-023,bacnet-01,bacnet,"analogOutput,23",ahu-01,Pa,True
BN-01-AO-024,bacnet-01,bacnet,"analogOutput,24",ahu-01,m3/h,True
BN-01-AO-025,bacnet-01,bacnet,"analogOutput,25",ahu-01,kW,True
BN-01-AO-026,bacnet-01,bacnet,"analogOutput,26",ahu-01,degC,True
BN-01-AO-027,bacnet-01,bacnet,"analogOutput,27",ahu-01,%,True
BN-01-AO-028,bacnet-01,bacnet,"analogOutput,28",ahu-01,Pa,True
BN-01-AO-029,bacnet-01,bacnet,"analogOutput,29",ahu-01,m3/h,True
BN-01-AO-030,bacnet-01,bacnet,"analogOutput,30",ahu-01,kW,True
BN-01-AO-031,bacnet-01,bacnet,"analogOutput,31",ahu-01,degC,True
BN-01-AO-032,bacnet-01,bacnet,"analogOutput,32",ahu-01,%,True
BN-01-AO-033,bacnet-01,bacnet,"analogOutput,33",ahu-01,Pa,True
BN-01-AO-034,bacnet-01,bacnet,"analogOutput,34",ahu-01,m3/h,True
BN-01-AO-035,bacnet-01,bacnet,"analogOutput,35",ahu-01,kW,True
BN-01-AO-036,bacnet-01,bacnet,"analogOutput,36",ahu-01,degC,True
BN-01-AO-037,bacnet-01,bacnet,"analogOutput,37",ahu-01,%,True
BN-01-AO-038,bacnet-01,bacnet,"analogOutput,38",ahu-01,Pa,True
BN-01-AO-039,bacnet-01,bacnet,"analogOutput,39",ahu-01,m3/h,True
BN-01-AO-040,bacnet-01,bacnet,"analogOutput,40",ahu-01,kW,True
BN-01-BI-001,bacnet-01,bacnet,"binaryInput,1",ahu-01,,False
BN-01-BI-002,bacnet-01,bacnet,"binaryInput,2",ahu-01,,False
